MISSING COMPONENT REFERENCES REPORT (BY SHEET)
Generated: 2026-01-21 17:02:16

WHAT TO FIX:
The following component names in your Excel sheets don't match any uploaded components.
Please check the spelling or make sure these components exist in the system.

====================================================================================================

SHEET: Excursions Package
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Row       | Row Name                                                    | Missing Component                                                            | Type            
?         | unknown field                                               | "Awasi Atacama to El Tatio Geysers"                                          | transfer        
?         | unknown field                                               | "Activity to El Chaltén Hotel H&T"                                           | transfer        
?         | unknown field                                               | "Activity to El Chaltén Hotel H&T"                                           | transfer        
?         | unknown field                                               | "Activity to El Chaltén Hotel H&T"                                           | transfer        
?         | unknown field                                               | "Activity to El Chaltén Hotel H&T"                                           | transfer        
?         | unknown field                                               | "Activity to El Chaltén Hotel H&T"                                           | transfer        
?         | unknown field                                               | "Activity to El Chaltén Hotel H&T"                                           | transfer        
?         | unknown field                                               | "Activity to El Chaltén Hotel H&T"                                           | transfer        
?         | unknown field                                               | "Activity to El Chaltén Hotel H&T"                                           | transfer        
?         | unknown field                                               | "Activity to El Chaltén Hotel H&T"                                           | transfer        
?         | unknown field                                               | "Activity to El Chaltén Hotel H&T"                                           | transfer        
?         | unknown field                                               | "Activity to El Chaltén Hotel H&T"                                           | transfer        
?         | unknown field                                               | "Activity to El Chaltén Hotel H&T"                                           | transfer        
?         | unknown field                                               | "Activity to El Chaltén Hotel H&T"                                           | transfer        
?         | unknown field                                               | "Activity to El Chaltén Hotel H&T"                                           | transfer        
?         | unknown field                                               | "Beagle Channel to Errante Ecolodge Errante Ecolodge Driver Only"            | transfer        
?         | unknown field                                               | "Beagle Channel to Errante Ecolodge Errante Ecolodge Driver Only"            | transfer        
?         | unknown field                                               | "Beagle Channel to Errante Ecolodge Errante Ecolodge Driver Only"            | transfer        
?         | unknown field                                               | "Activity to Errante Ecolodge Errante Ecolodge Driver Only"                  | transfer        
?         | unknown field                                               | "Activity to Errante Ecolodge Errante Ecolodge Driver Only"                  | transfer        
?         | unknown field                                               | "Puerto Navarino to Errante Ecolodge Errante Ecolodge Driver Only"           | transfer        
?         | unknown field                                               | "Omora Ethnobotanical Park to Errante Ecolodge Errante Ecolodge Driver Only" | transfer        
?         | unknown field                                               | "Puerto Williams to Errante Ecolodge Errante Ecolodge Driver Only"           | transfer        
?         | unknown field                                               | "Activity to Remota Lodge Remota Lodge"                                      | transfer        
?         | unknown field                                               | "Activity to Remota Lodge Remota Lodge"                                      | transfer        
?         | unknown field                                               | "Activity to Remota Lodge Remota Lodge"                                      | transfer        
?         | unknown field                                               | "Activity to Remota Lodge Remota Lodge"                                      | transfer        
?         | unknown field                                               | "Activity to Remota Lodge Remota Lodge"                                      | transfer        
?         | unknown field                                               | "Activity to Remota Lodge Remota Lodge"                                      | transfer        
?         | unknown field                                               | "Activity to Remota Lodge Remota Lodge"                                      | transfer        
?         | unknown field                                               | "Activity to Remota Lodge Remota Lodge"                                      | transfer        
?         | unknown field                                               | "Activity to Remota Lodge Remota Lodge"                                      | transfer        
?         | unknown field                                               | "Activity to Remota Lodge Remota Lodge"                                      | transfer        
?         | unknown field                                               | "Activity to Remota Lodge Remota Lodge"                                      | transfer        
?         | unknown field                                               | "Activity to Remota Lodge Remota Lodge"                                      | transfer        
?         | unknown field                                               | "Activity to Remota Lodge Remota Lodge"                                      | transfer        
?         | unknown field                                               | "Activity to Remota Lodge Remota Lodge"                                      | transfer        
?         | unknown field                                               | "Activity to Remota Lodge Remota Lodge"                                      | transfer        
?         | unknown field                                               | "Activity to Remota Lodge Remota Lodge"                                      | transfer        
?         | unknown field                                               | "Activity to Remota Lodge Remota Lodge"                                      | transfer        
?         | unknown field                                               | "Activity to Remota Lodge Remota Lodge"                                      | transfer        
?         | unknown field                                               | "Activity to Remota Lodge Remota Lodge"                                      | transfer        
?         | unknown field                                               | "Activity to Remota Lodge Remota Lodge"                                      | transfer        
?         | unknown field                                               | "Activity to Remota Lodge Remota Lodge"                                      | transfer        
?         | unknown field                                               | "Activity to Remota Lodge Remota Lodge"                                      | transfer        
?         | unknown field                                               | "Activity to Remota Lodge Remota Lodge"                                      | transfer        
?         | unknown field                                               | "Activity to Remota Lodge Remota Lodge"                                      | transfer        
?         | unknown field                                               | "Puerto Natales to Remota Lodge Remota Lodge Driver Only"                    | transfer        
?         | unknown field                                               | "Puerto Natales to Remota Lodge Remota Lodge Driver Only"                    | transfer        
?         | unknown field                                               | "Activity to Tierra Atacama Tierra Guided"                                   | transfer        
?         | unknown field                                               | "Activity to Tierra Atacama Tierra Guided"                                   | transfer        
?         | unknown field                                               | "Activity to Tierra Atacama Tierra Guided"                                   | transfer        
?         | unknown field                                               | "Activity to Tierra Atacama Tierra Guided"                                   | transfer        
?         | unknown field                                               | "Activity to Tierra Atacama Tierra Guided"                                   | transfer        
?         | unknown field                                               | "Activity to Tierra Atacama Tierra Guided"                                   | transfer        
?         | unknown field                                               | "Activity to Tierra Atacama Tierra Guided"                                   | transfer        
?         | unknown field                                               | "Activity to Tierra Atacama Tierra Guided"                                   | transfer        
?         | unknown field                                               | "Activity to Tierra Atacama Tierra Guided"                                   | transfer        
?         | unknown field                                               | "Activity to Tierra Patagonia Tierra"                                        | transfer        
?         | unknown field                                               | "Activity to Tierra Patagonia Tierra"                                        | transfer        
?         | unknown field                                               | "Activity to Tierra Patagonia Tierra"                                        | transfer        
?         | unknown field                                               | "Activity to Tierra Patagonia Tierra"                                        | transfer        
?         | unknown field                                               | "Activity to Tierra Patagonia Tierra"                                        | transfer        
?         | unknown field                                               | "Activity to Tierra Patagonia Tierra"                                        | transfer        
?         | unknown field                                               | "Activity to Tierra Patagonia Tierra"                                        | transfer        
?         | unknown field                                               | "Activity to Tierra Patagonia Tierra"                                        | transfer        
?         | unknown field                                               | "Activity to Tierra Patagonia Tierra"                                        | transfer        
?         | unknown field                                               | "Lago Pehoé: Paine Grande Dock to Pudeto Dock Tierra Patagonia"              | transfer        
?         | unknown field                                               | "Activity to Ushuaia Hotel H&T"                                              | transfer        
?         | unknown field                                               | "Activity to Ushuaia Hotel H&T"                                              | transfer        
?         | unknown field                                               | "Activity to Ushuaia Hotel H&T"                                              | transfer        
?         | unknown field                                               | "Activity to Ushuaia Hotel H&T"                                              | transfer        
?         | unknown field                                               | "Activity to Ushuaia Hotel H&T"                                              | transfer        
?         | unknown field                                               | "Activity to Ushuaia Hotel H&T"                                              | transfer        
?         | unknown field                                               | "Activity to Ushuaia Hotel H&T"                                              | transfer        
?         | unknown field                                               | "Activity to Ushuaia Hotel H&T"                                              | transfer        
?         | unknown field                                               | "Activity to Ushuaia Hotel H&T"                                              | transfer        
?         | unknown field                                               | "Activity to Ushuaia Hotel H&T"                                              | transfer        
?         | unknown field                                               | "Activity to Ushuaia Hotel H&T"                                              | transfer        
?         | unknown field                                               | "Activity to Ushuaia Hotel H&T"                                              | transfer        
?         | unknown field                                               | "Activity to Ushuaia Hotel H&T"                                              | transfer        
?         | unknown field                                               | "Activity to Ushuaia Hotel H&T"                                              | transfer        
?         | unknown field                                               | "Activity to Ushuaia Hotel H&T"                                              | transfer        
?         | unknown field                                               | "Activity to Ushuaia Hotel H&T"                                              | transfer        
?         | unknown field                                               | "Activity to Ushuaia Hotel H&T"                                              | transfer        
?         | unknown field                                               | "Activity to Ushuaia Hotel H&T"                                              | transfer        
?         | unknown field                                               | "Puerto Betrand to Cochrane Senderos Patagonia Aysén"                        | transfer        
?         | unknown field                                               | "Activity to Río Hermoso Lodge Andestrack"                                   | transfer        
?         | unknown field                                               | "Activity to Río Hermoso Lodge Andestrack"                                   | transfer        
?         | unknown field                                               | "Activity to Río Hermoso Lodge Andestrack"                                   | transfer        
?         | unknown field                                               | "Activity to Río Hermoso Lodge Andestrack"                                   | transfer        
?         | unknown field                                               | "Activity to Bariloche Andestrack Guided"                                    | transfer        
?         | unknown field                                               | "Activity to Bariloche Andestrack Guided"                                    | transfer        
?         | unknown field                                               | "Activity to Bariloche Andestrack Guided"                                    | transfer        
?         | unknown field                                               | "Activity to Bariloche Andestrack Guided"                                    | transfer        
?         | unknown field                                               | "Activity to Bariloche Andestrack Guided"                                    | transfer        
?         | unknown field                                               | "Activity to Puerto Iguazu (IGR) H&T"                                        | transfer        
?         | unknown field                                               | "Activity to Cataratas/Puerto Iguazú Hotel H&T"                              | transfer        
?         | unknown field                                               | "Altas Hike to Hotel Ultimo Paraiso Senderos Patagonia Aysén"                | transfer        
?         | unknown field                                               | "Aviles Hike to Hotel Ultimo Paraiso Senderos Patagonia Aysén"               | transfer        
